timestamp,polygon_id,polygon_name,latitude,longitude,soil_moisture,soil_temp_surface,soil_temp_10cm
2024-01-01 00:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.368,9.9,9.4
2024-01-01 01:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.373,9.2,9.3
2024-01-01 02:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.375,8.4,9.3
2024-01-01 03:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.374,7.8,9.2
2024-01-01 04:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.373,7.4,9.1
2024-01-01 05:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.372,7.2,9.1
2024-01-01 06:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.372,6.8,8.9
2024-01-01 07:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.371,6.5,8.9
2024-01-01 08:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.37,6.2,8.7
2024-01-01 09:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.37,5.9,8.6
2024-01-01 10:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.369,5.8,8.4
2024-01-01 11:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.368,5.7,8.2
2024-01-01 12:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.368,5.4,8.1
2024-01-01 13:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.361,5.1,8.1
2024-01-01 14:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.36,5.0,7.9
2024-01-01 15:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.36,4.7,7.8
2024-01-01 16:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.36,4.6,7.6
2024-01-01 17:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.36,5.8,7.5
2024-01-01 18:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.359,7.5,7.5
2024-01-01 19:00:00,field1,Evergreen San Jose Field (CA),37.508,-121.492,0.358,9.1,7.7
